name,DR2_desig,RA_J2000,DEC_J2000,D,e_D,Pmem,J,e_J,K,e_K,rprime,e_rprime,G,e_G,BP,RP,binary,Prot,SingleFlagD19,Gaia_desig_EDR3,Gaia_desig_DR2,tail?,G_EDR3,G_DR2,note
2MASS J08314193+2606411,Gaia DR2 703692806193429248,127.924742,26.111429,182.99,0.809,999.0,nan,nan,10.792,0.02,13.244,0.021,13.2757,0.0003,14.0061,12.4989,0,nan,nan,Gaia EDR3 703692806193429248,Gaia DR2 703692806193429248,0,13.285031,13.27566114,nan
2MASS J08314249+2932577,Gaia DR2 707741379804759552,127.927071,29.549381,133.85,0.783,999.0,nan,nan,11.07,0.001,14.546,0.02,14.3001,0.0005,15.424,13.2903,0,nan,nan,Gaia EDR3 707741379804759552,Gaia DR2 707741379804759552,1,14.308789,14.30009244,nan
2MASS J08314297+1829064,Gaia DR2 662600689408917888,127.929043,18.485132,194.616,5.679,95.8,nan,nan,13.372,0.035,18.0511,0.0067,17.2953,0.0014,18.9633,16.0345,0,nan,nan,Gaia EDR3 662600689408917888,Gaia DR2 662600689408917888,0,17.295572,17.295332,nan
2MASS J08315427+1845361,Gaia DR2 662625978176332160,127.976133,18.760054,196.237,11.364,96.5,nan,nan,13.761,0.044,18.4048,0.0081,17.617,0.0013,19.2588,16.35,0,2.179,YYY-Y,Gaia EDR3 662625978176332160,Gaia DR2 662625978176332160,0,17.614841,17.617048,nan
2MASS J08320188+1958471,Gaia DR2 663044514149509888,128.007865,19.979771,185.398,3.988,98.9,nan,nan,13.21,0.028,17.902,0.0063,17.0749,0.0008,18.7237,15.8412,0,22.93,XXXXX,Gaia EDR3 663044514149509888,Gaia DR2 663044514149509888,0,17.075987,17.074905,nan
2MASS J08320273+2046207,Gaia DR2 664656398195401728,128.011379,20.772421,197.801,6.818,99.0,nan,nan,13.254,0.035,17.9978,0.007,17.2009,0.0011,18.9666,15.9333,0,nan,nan,Gaia EDR3 664656398195401728,Gaia DR2 664656398195401728,0,17.198427,17.200876,nan
2MASS J08320733+1936240,Gaia DR2 663017640536967424,128.030563,19.606693,186.183,10.322,75.6,nan,nan,14.44,0.072,19.542,0.018,18.5902,0.0021,20.3836,17.2573,0,nan,nan,Gaia EDR3 663017640536967424,Gaia DR2 663017640536967424,0,18.573065,18.590194,nan
2MASS J08320795+1844267,Gaia DR2 662625668938685184,128.03315,18.740757,197.717,4.545,53.3,nan,nan,12.57,0.023,16.831,0.09,16.2424,0.0014,17.6836,15.0987,0,nan,nan,Gaia EDR3 662625668938685184,Gaia DR2 662625668938685184,0,16.255978,16.242403,nan
2MASS J08321067+2120296,Gaia DR2 665464333083356928,128.044491,21.341579,188.785,1.118,97.7,nan,nan,10.959,0.018,13.807,0.058,13.7154,0.0004,14.5597,12.8619,0,13.72,XXXXX,Gaia EDR3 665464333083356928,Gaia DR2 665464333083356928,0,13.726357,13.7154174,nan
2MASS J08321786+1932495,Gaia DR2 662828833775087488,128.074447,19.547091,181.038,7.368,99.1,nan,nan,13.022,0.028,17.5689,0.0055,16.8496,0.0011,18.4529,15.6338,0,24.441,NYY-Y,Gaia EDR3 662828838071658880,Gaia DR2 662828833775087488,0,16.84911133,16.849556,nan
2MASS J08321889+1903086,Gaia DR2 662701741399303040,128.078738,19.052414,189.572,3.699,98.4,nan,nan,12.826,0.032,17.1539,0.0046,16.5587,0.0009,18.0574,15.3806,0,17.51,XXXXX,Gaia EDR3 662701741399303040,Gaia DR2 662701741399303040,0,16.56739,16.55866,nan
2MASS J08322262+1453371,Gaia DR2 651772320940655104,128.094271,14.893659,195.706,1.228,999.0,nan,nan,11.409,0.022,14.428,0.067,14.3309,0.0004,15.254,13.4324,0,14.52,XXXXX,Gaia EDR3 651772320940655104,Gaia DR2 651772320940655104,0,14.34408,14.33091748,nan
2MASS J08322347+2059449,Gaia DR2 665417157162598144,128.097829,20.995808,184.759,1.609,97.5,nan,nan,10.47,0.018,12.455,0.056,12.5459,0.0004,13.1153,11.8911,0,11.117,YY--Y,Gaia EDR3 665417157162598144,Gaia DR2 665417157162598144,0,12.555542,12.5458909,nan
2MASS J08322894+2117276,Gaia DR2 665460858453040000,128.120586,21.291018,166.42,0.06,999.0,nan,nan,15.4705,0.0076,21.8456,0.0904,20.2709,0.0056,21.4743,18.7278,0,nan,nan,Gaia EDR3 665460858453040000,Gaia DR2 665460858453040000,0,20.25874171,20.270908,nan
2MASS J08323030+1553299,Gaia DR2 658660520770798976,128.126288,15.891663,195.894,5.8,999.0,nan,nan,13.152,0.046,17.9296,0.0065,17.1007,0.0012,18.8538,15.848,0,nan,nan,Gaia EDR3 658660520770798976,Gaia DR2 658660520770798976,0,17.101683,17.100673,nan
2MASS J08323244+2050410,Gaia DR2 664658700297947008,128.135183,20.844728,196.9,4.724,90.9,nan,nan,12.715,0.023,17.109,0.295,16.4593,0.001,17.9958,15.2804,0,16.515,YYY-Y,Gaia EDR3 664658700297947008,Gaia DR2 664658700297947008,0,16.468655,16.459255,nan
2MASS J08323341+2004483,Gaia DR2 663069150081902592,128.139234,20.08009,179.804,1.314,98.0,nan,nan,10.627,0.019,12.809,0.019,12.8428,0.0004,13.4811,12.1373,0,12.191,YYYYY,Gaia EDR3 663069150081902592,Gaia DR2 663069150081902592,0,12.852614,12.84275888,nan
